id,category,text,buckwalter,phonemes,ipa,gold_ipa,exact_match,normalized_match,status,error
19,hidden_alif_khanjariyya,اللَّهُمَّ,All~ahum~a,< a ll AA h u0 mm a,ʔalːɑːˈhumːa,,,,PASS,
20,hidden_alif_khanjariyya,إِلَهٌ,<ilahN,< i0 l aa h u1 n,ʔiˈlaːhun,,,,PASS,
21,hidden_alif_khanjariyya,الرَّحْمَنُ,Alr~aHomanu,< a rr a H m aa n u0,ʔarːaħˈmaːnu,,,,PASS,
22,hidden_alif_khanjariyya,لَكِنْ,lakino,l aa k i1 n,ˈlaːkin,,,,PASS,
23,hidden_alif_khanjariyya,لَكِنَّ,lakin~a,l aa k i0 nn a,laːˈkinːa,,,,PASS,
24,hidden_alif_khanjariyya,طَهَ,Taha,T aa h aa,ˈtˤaːhaː,,,,PASS,
25,hidden_alif_khanjariyya,إِسْحَاقُ,<isoHaAqu,< i0 s H AA q U0,ʔisˈħɑːqu,,,,PASS,
26,hamza_extreme,يَسْتَأْذِنُ,yasota>o*inu,y a s t a < * i0 n u0,jasˈtaʔðinu,,,,PASS,
27,hamza_extreme,مَسْئُولِيَّةٌ,maso}uwliy~apN,m a s < uu0 l i0 yy a t u1 n,masʔuːˈlijːatun,,,,PASS,
28,hamza_extreme,شُئُونٌ,$u}uwnN,$ u0 < uu0 n u1 n,ʃuˈʔuːnun,,,,PASS,
29,hamza_extreme,رُؤَسَاءُ,ru&asaA'u,r u0 < a s aa < u0,ruʔaˈsaːʔu,,,,PASS,
30,hamza_extreme,تَبَاطُؤٌ,tabaATu&N,t a b AA T U0 < u1 n,taˈbɑːtˤuʔun,,,,PASS,
31,hamza_extreme,تَبَاطُؤًا,tabaATu&FA,t a b AA T U0 < a n,taˈbɑːtˤuʔan,,,,PASS,
32,hamza_extreme,شَيْءٌ,$ayo'N,$ a y < u1 n,ˈʃajʔun,,,,PASS,
33,hamza_extreme,شَيْئًا,$ayo}FA,$ a y < a n,ˈʃajʔan,,,,PASS,
34,hamza_extreme,شَيْءٍ,$ayo'K,$ a y < i1 n,ˈʃajʔin,,,,PASS,
35,hamza_extreme,دِفْءٌ,difo'N,d i0 f < u1 n,ˈdifʔun,,,,PASS,
36,hamza_extreme,دِفْئًا,difo}FA,d i0 f < a n,ˈdifʔan,,,,PASS,
37,hamza_extreme,مُتَلَأْلِئٌ,mutala>oli}N,m u0 t a l a < l i0 < u1 n,mutaˈlaʔliʔun,,,,PASS,
38,hamza_extreme,قُرِئَ,quri}a,q U0 r i0 < a,ˈquriʔa,,,,PASS,
39,hamza_extreme,بِيئَةٌ,biy}apN,b ii0 < a t u1 n,ˈbiːʔatun,,,,PASS,
40,hamza_extreme,هَيْئَةٌ,hayo}apN,h a y < a t u1 n,ˈhajʔatun,,,,PASS,
41,hamza_extreme,سَوْءَةٌ,sawo'apN,s a w < a t u1 n,ˈsawʔatun,,,,PASS,
42,hamza_extreme,مُؤَامَرَةٌ,mu&aAmarapN,m u0 < aa m a r a t u1 n,muˈʔaːmaratun,,,,PASS,
43,hamza_extreme,رُؤْيَا,ru&oyaA,r u0 < y aa,ˈruʔjaː,,,,PASS,
44,hamza_extreme,اِقْرَأْ,Aiqora>o,< I0 q r a <,ˈʔiqraʔ,,,,PASS,
45,hamza_extreme,مَبْدَأٌ,maboda>N,m a b d a < u1 n,ˈmabdaʔun,,,,PASS,
46,hamza_extreme,مَلْجَأٌ,maloja>N,m a l j a < u1 n,ˈmalʤaʔun,,,,PASS,
47,hamza_extreme,سُؤَالٌ,su&aAlN,s u0 < aa l u1 n,suˈʔaːlun,,,,PASS,
48,sun_letter_assimilation,وَبِالشَّمْسِ,wabiAl$~amosi,w a b i0 $$ a m s i0,wabiʃˈʃamsi,,,,PASS,
49,sun_letter_assimilation,فَكَالنَّجْمِ,fakaAln~ajomi,f a k aa nn a j m i0,fakaːnˈnaʤmi,,,,PASS,
50,sun_letter_assimilation,لِلرَّجُلِ,lilr~ajuli,l i0 rr a j u0 l i0,ˈlirːaʤuli,,,,PASS,
51,sun_letter_assimilation,لِلَّذِينَ,lil~a*iyna,l i0 ll a * ii0 n a,lilːaˈðiːna,,,,PASS,
52,sun_letter_assimilation,فَلِلَّهِ,falil~ahi,f a l i0 ll a h i0,faˈlilːahi,,,,PASS,
53,sun_letter_assimilation,بِالضَّبْطِ,bilD~aboTi,b i0 DD A b T I0,bidˤˈdˤɑbtˤi,,,,PASS,
54,sun_letter_assimilation,كَالطَّائِرِ,kalT~aA}iri,k a TT AA < i0 r i0,katˤˈtˤɑːʔiri,,,,PASS,
55,sun_letter_assimilation,وَالظِّلِّ,walZ~il~i,w a ZZ I0 ll i0,waðˤˈðˤilːi,,,,PASS,
56,sun_letter_assimilation,فِي السَّيَّارَةِ,fiy Als~ay~aArapi,f ii0 + ss a yy aa r a t i0,fisːajˈjaːrati,,,,PASS,
57,sun_letter_assimilation,مِنَ النَّاسِ,mina Aln~aAsi,m i0 n a + nn aa s i0,minanˈnaːsi,,,,PASS,
58,long_quranic_morphology,فَأَسْقَيْنَاكُمُوهُ,fa>asoqayonaAkumuwhu,f a < a s q A y n aa k u0 m uu0 h u0,faʔasqɑjnaːkuˈmuːhu,,,,PASS,
59,long_quranic_morphology,أَنُلْزِمُكُمُوهَا,>anulozimukumuwhaA,< a n u0 l z i0 m u0 k u0 m uu0 h aa,ʔanulzimukuˈmuːhaː,,,,PASS,
60,long_quranic_morphology,فَسَيَكْفِيكَهُمُ,fasayakofiykahumu,f a s a y a k f ii0 k a h u0 m u0,fasajakˈfiːkahumu,,,,PASS,
61,long_quranic_morphology,وَاسْتَخْلَفْنَاهُمْ,wasotaxolafonaAhumo,w a s t a x l a f n aa h u1 m,wastaxlafˈnaːhum,,,,PASS,
62,long_quranic_morphology,فَلَيَسْتَخْلِفَنَّهُمْ,falayasotaxolifan~ahumo,f a l a y a s t a x l i0 f a nn a h u1 m,falajastaxliˈfanːahum,,,,PASS,
63,long_quranic_morphology,وَالْمُسْتَضْعَفِينَ,walomusotaDoEafiyna,w a l m u0 s t A D E a f ii0 n a,walmustɑdˤʕaˈfiːna,,,,PASS,
64,long_quranic_morphology,اِسْتِقْلَالِيَّتُهُمْ,AisotiqolaAliy~atuhumo,< i0 s t I0 q l aa l i0 yy a t u0 h u1 m,ʔistiqlaːˈlijːatuhum,,,,PASS,
65,long_quranic_morphology,أَفَإِنْ,>afa<ino,< a f a < i1 n,ˈʔafaʔin,,,,PASS,
66,taa_marbuta_vs_haa,مَدْرَسَةٌ,madorasapN,m a d r a s a t u1 n,ˈmadrasatun,,,,PASS,
67,taa_marbuta_vs_haa,مَدْرَسَتُهُ,madorasatuhu,m a d r a s a t u0 h u0,madraˈsatuhu,,,,PASS,
68,taa_marbuta_vs_haa,حَيَاةٌ,HayaApN,H a y aa t u1 n,ħaˈjaːtun,,,,PASS,
69,taa_marbuta_vs_haa,مِيَاهٌ,miyaAhN,m i0 y aa h u1 n,miˈjaːhun,,,,PASS,
70,taa_marbuta_vs_haa,وَجْهٌ,wajohN,w a j h u1 n,ˈwaʤhun,,,,PASS,
71,taa_marbuta_vs_haa,تَوْجِيهٌ,tawojiyhN,t a w j ii0 h u1 n,tawˈʤiːhun,,,,PASS,
72,taa_marbuta_vs_haa,فَاطِمَةُ,faATimapu,f AA T I0 m a t u0,ˈfɑːtˤimatu,,,,PASS,
73,taa_marbuta_vs_haa,قُضَاةٌ,quDaApN,q U0 D AA t U1 n,quˈdˤɑːtun,,,,PASS,
74,taa_marbuta_vs_haa,صَلَاةٌ,SalaApN,S A l aa t u1 n,sˤɑˈlaːtun,,,,PASS,
75,taa_marbuta_vs_haa,زَكَاةٌ,zakaApN,z a k aa t u1 n,zaˈkaːtun,,,,PASS,
76,taa_marbuta_vs_haa,مِشْكَاةٌ,mi$okaApN,m i0 $ k aa t u1 n,miʃˈkaːtun,,,,PASS,
77,taa_marbuta_vs_haa,شَجَرَةٌ,$ajarapN,$ a j a r a t u1 n,ʃaˈʤaratun,,,,PASS,
78,taa_marbuta_vs_haa,شَجَرَتُهَا,$ajaratuhaA,$ a j a r a t u0 h aa,ʃaʤaˈratuhaː,,,,PASS,
79,taa_marbuta_vs_haa,سَيَّارَةٌ,say~aArapN,s a yy aa r a t u1 n,sajˈjaːratun,,,,PASS,
80,taa_marbuta_vs_haa,سَيَّارَتُهُمْ,say~aAratuhumo,s a yy aa r a t u0 h u1 m,sajˈjaːratuhum,,,,PASS,
81,alif_maqsura_and_tanween,فَتًى,fatFY,f a t a n,ˈfatan,,,,PASS,
82,alif_maqsura_and_tanween,هُدًى,hudFY,h u0 d a n,ˈhudan,,,,PASS,
83,alif_maqsura_and_tanween,مُسْتَشْفًى,musota$ofFY,m u0 s t a $ f a n,musˈtaʃfan,,,,PASS,
84,alif_maqsura_and_tanween,مُصْطَفًى,muSoTafFY,m U0 S T A f a n,ˈmusˤtˤɑfan,,,,PASS,
85,alif_maqsura_and_tanween,مُحَامٍ,muHaAmK,m u0 H aa m i1 n,muˈħaːmin,,,,PASS,
86,alif_maqsura_and_tanween,قَاضٍ,qaADK,q AA D I1 n,ˈqɑːdˤin,,,,PASS,
87,alif_maqsura_and_tanween,غَازٍ,gaAzK,g AA z i1 n,ˈɣɑːzin,,,,PASS,
88,alif_maqsura_and_tanween,عَصًا,EaSFA,E A S A n,ˈʕɑsˤɑn,,,,PASS,
89,alif_maqsura_and_tanween,رِضًا,riDFA,r I0 D A n,ˈridˤɑn,,,,PASS,
90,alif_maqsura_and_tanween,مَقْهًى,maqohFY,m A q h a n,ˈmɑqhan,,,,PASS,
91,alif_maqsura_and_tanween,دُعَاءً,duEaA'F,d u0 E aa < a n,duˈʕaːʔan,,,,PASS,
92,alif_maqsura_and_tanween,سَمَاءً,samaA'F,s a m aa < a n,saˈmaːʔan,,,,PASS,
93,shadda_and_vowel_interaction,مُدَرِّسٌ,mudar~isN,m u0 d a rr i0 s u1 n,muˈdarːisun,,,,PASS,
94,shadda_and_vowel_interaction,مُدَرَّسٌ,mudar~asN,m u0 d a rr a s u1 n,muˈdarːasun,,,,PASS,
95,shadda_and_vowel_interaction,مُسْتَقِرٌّ,musotaqir~N,m u0 s t A q I0 rr u1 n,mustɑˈqirːun,,,,PASS,
96,shadda_and_vowel_interaction,مُسْتَقَرٌّ,musotaqar~N,m u0 s t A q A rr u1 n,mustɑˈqɑrːun,,,,PASS,
97,shadda_and_vowel_interaction,أُمِّيٌّ,>um~iy~N,< u0 mm i0 yy u1 n,ʔumˈmijːun,,,,PASS,
98,shadda_and_vowel_interaction,عَرَبِيٌّ,Earabiy~N,E a r a b i0 yy u1 n,ʕaraˈbijːun,,,,PASS,
99,shadda_and_vowel_interaction,يُوَجِّهُونَهُ,yuwaj~ihuwnahu,y u0 w a jj i0 h uu0 n a h u0,juwaʤːiˈhuːnahu,,,,PASS,
100,shadda_and_vowel_interaction,الطَّامَّةُ,AlT~aAm~apu,a TT AA mm a t u0,atˤˈtˤɑːmːatu,,,,PASS,
101,shadda_and_vowel_interaction,الصَّاخَّةُ,AlS~aAx~apu,a SS AA xx A t U0,asˤˈsˤɑːxːɑtu,,,,PASS,
102,shadda_and_vowel_interaction,مَادَّةٌ,maAd~apN,m aa dd a t u1 n,ˈmaːdːatun,,,,PASS,
103,shadda_and_vowel_interaction,حَادَّةٌ,HaAd~apN,H aa dd a t u1 n,ˈħaːdːatun,,,,PASS,
104,loanwords,دِيمُوقْرَاطِيَّةٌ,diymuwqoraATiy~apN,d ii0 m uu0 q r AA T I0 yy a t u1 n,diːmuːqrɑːˈtˤijːatun,,,,PASS,
105,loanwords,إِسْتِرَاتِيجِيَّةٌ,<isotiraAtiyjiy~apN,< i0 s t i0 r aa t ii0 j i0 yy a t u1 n,ʔistiraːtiːˈʤijːatun,,,,PASS,
106,loanwords,تِكْنُولُوجِيَا,tikonuwluwjiyaA,t i0 k n uu0 l uu0 j i0 y aa,tiknuːˈluːʤijaː,,,,PASS,
107,loanwords,كُومْبْيُوتَر,kuwmoboyuwtar,k uu0 m b y uu0 t a r,kuːmbˈjuːtar,,,,PASS,
108,loanwords,بَلَاسْتِيك,balaAsotiyk,b a l aa s t ii0 k,balaːsˈtiːk,,,,PASS,
109,loanwords,فِيرُوسَات,fiyruwsaAt,f ii0 r uu0 s aa t,fiːruːˈsaːt,,,,PASS,
110,loanwords,مِيكْرُوفُون,miykoruwfuwn,m ii0 k r uu0 f uu0 n,miːkruːˈfuːn,,,,PASS,
111,loanwords,أُكْسُجِين,>ukosujiyn,< u0 k s u0 j ii0 n,ʔuksuˈʤiːn,,,,PASS,
112,loanwords,سِينِيمَائِيٌّ,siyniymaA}iy~N,s ii0 n ii0 m aa < i0 yy u1 n,siːniːmaːˈʔijːun,,,,PASS,
113,hamzat_wasl,وَابْنُ,wabonu,w a b n u0,ˈwabnu,,,,PASS,
114,hamzat_wasl,فَاسْتَغْفَرَ,fasotagofara,f a s t a g f a r a,fasˈtaɣfara,,,,PASS,
115,hamzat_wasl,بِاسْمِ,bisomi,b i0 s m i0,ˈbismi,,,,PASS,
116,hamzat_wasl,بِسْمِ,bisomi,b i0 s m i0,ˈbismi,,,,PASS,
117,hamzat_wasl,وَامْرَأَةٌ,wamora>apN,w a m r a < a t u1 n,ˈwamraʔatun,,,,PASS,
118,hamzat_wasl,يَا ابْنَ,yaA Abona,y aa + b n a,ˈjabna,,,,PASS,
119,hamzat_wasl,اِقْرَأْ وَاسْتَمِعْ,Aiqora>o waAsotamiEo,< I0 q r a < + w a s t a m i1 E,ˈʔiqraʔ ˈwastamiʕ,,,,PASS,
120,hamzat_wasl,اَلْحَمْدُ لِلَّهِ,AaloHamodu lil~ahi,< a l H a m d u0 + l i0 ll a h i0,ʔalˈħamdu ˈlilːahi,,,,PASS,
121,hamzat_wasl,مِنَ الْمَاءِ,mina AlomaA'i,m i0 n a + l m aa < i0,minalˈmaːʔi,,,,PASS,
122,hamzat_wasl,أَبُو الْفَضْلِ,>abuw AlofaDoli,< a b uu0 + l f A D l i0,ʔabulˈfɑdˤli,,,,PASS,
123,weak_verbs_exceptions,قَالَ,qaAla,q AA l a,ˈqɑːla,,,,PASS,
124,weak_verbs_exceptions,يَقُولُ,yaquwlu,y A q UU0 l u0,jɑˈquːlu,,,,PASS,
125,weak_verbs_exceptions,قُلْ,qulo,q U0 l,ˈqul,,,,PASS,
126,weak_verbs_exceptions,بَاعَ,baAEa,b a E a,ˈbaʕa,,,,PASS,
127,weak_verbs_exceptions,يَبِيعُ,yabiyEu,y a b ii0 E u0,jaˈbiːʕu,,,,PASS,
128,weak_verbs_exceptions,بِعْ,biEo,b i0 E,ˈbiʕ,,,,PASS,
129,weak_verbs_exceptions,دَعَا,daEaA,d a E aa,ˈdaʕaː,,,,PASS,
130,weak_verbs_exceptions,يَدْعُو,yadoEuw,y a d E uu0,ˈjadʕuː,,,,PASS,
131,weak_verbs_exceptions,اُدْعُ,AudoEu,< u0 d E u0,ˈʔudʕu,,,,PASS,
132,weak_verbs_exceptions,رَمَى,ramaY,r a m aa,ˈramaː,,,,PASS,
133,weak_verbs_exceptions,يَرْمِي,yaromiy,y a r m ii0,ˈjarmiː,,,,PASS,
134,weak_verbs_exceptions,اِرْمِ,Airomi,< i0 r m i0,ˈʔirmi,,,,PASS,
135,weak_verbs_exceptions,رَأَى,ra>aY,r a < aa,ˈraʔaː,,,,PASS,
136,weak_verbs_exceptions,يَرَى,yaraY,y a r aa,ˈjaraː,,,,PASS,
137,boundary_phrases,فِي الْبَيْتِ,fiy Alobayoti,f ii0 + l b a y t i0,filˈbajti,,,,PASS,
138,boundary_phrases,مِنَ الْقَمَرِ,mina Aloqamari,m i0 n a + l q A m a r i0,miˈnalqɑmari,,,,PASS,
139,boundary_phrases,عَلَى الطَّرِيقِ,EalaY AlT~ariyqi,E a l aa + TT A r ii0 q I0,ʕalatˤːɑˈriːqi,,,,PASS,
140,boundary_phrases,إِلَى الْمَسْجِدِ,<ilaY Alomasojidi,< i0 l aa + l m a s j i0 d i0,ʔilalˈmasʤidi,,,,PASS,
141,boundary_phrases,وَالشَّمْسُ,wal$~amosu,w a $$ a m s u0,waʃˈʃamsu,,,,PASS,
142,boundary_phrases,فَالنَّجْمُ,faln~ajomu,f a nn a j m u0,fanˈnaʤmu,,,,PASS,
143,boundary_phrases,بِالرَّجُلِ,bilr~ajuli,b i0 rr a j u0 l i0,ˈbirːaʤuli,,,,PASS,
144,boundary_phrases,كَالصَّوْتِ,kalS~awoti,k a SS A w t i0,kasˤˈsˤɑwti,,,,PASS,
145,case_endings,كِتَابُ,kitaAbu,k i0 t aa b u0,kiˈtaːbu,,,,PASS,
146,case_endings,كِتَابَ,kitaAba,k i0 t aa b a,kiˈtaːba,,,,PASS,
147,case_endings,كِتَابِ,kitaAbi,k i0 t aa b i0,kiˈtaːbi,,,,PASS,
148,case_endings,كِتَابٌ,kitaAbN,k i0 t aa b u1 n,kiˈtaːbun,,,,PASS,
149,case_endings,كِتَابً,kitaAbF,k i0 t aa b a n,kiˈtaːban,,,,PASS,
150,case_endings,كِتَابٍ,kitaAbK,k i0 t aa b i1 n,kiˈtaːbin,,,,PASS,
151,case_endings,بَيْتُ,bayotu,b a y t u0,ˈbajtu,,,,PASS,
152,case_endings,بَيْتَ,bayota,b a y t a,ˈbajta,,,,PASS,
153,case_endings,بَيْتِ,bayoti,b a y t i0,ˈbajti,,,,PASS,
154,case_endings,بَيْتٌ,bayotN,b a y t u1 n,ˈbajtun,,,,PASS,
155,case_endings,بَيْتً,bayotF,b a y t a n,ˈbajtan,,,,PASS,
156,case_endings,بَيْتٍ,bayotK,b a y t i1 n,ˈbajtin,,,,PASS,
157,case_endings,قَلَمُ,qalamu,q A l a m u0,ˈqɑlamu,,,,PASS,
158,case_endings,قَلَمَ,qalama,q A l a m a,ˈqɑlama,,,,PASS,
159,case_endings,قَلَمِ,qalami,q A l a m i0,ˈqɑlami,,,,PASS,
160,case_endings,قَلَمٌ,qalamN,q A l a m u1 n,ˈqɑlamun,,,,PASS,
161,case_endings,قَلَمً,qalamF,q A l a m a n,ˈqɑlaman,,,,PASS,
162,case_endings,قَلَمٍ,qalamK,q A l a m i1 n,ˈqɑlamin,,,,PASS,
163,case_endings,وَلَدُ,waladu,w a l a d u0,ˈwaladu,,,,PASS,
164,case_endings,وَلَدَ,walada,w a l a d a,ˈwalada,,,,PASS,
165,case_endings,وَلَدِ,waladi,w a l a d i0,ˈwaladi,,,,PASS,
166,case_endings,وَلَدٌ,waladN,w a l a d u1 n,ˈwaladun,,,,PASS,
167,case_endings,وَلَدً,waladF,w a l a d a n,ˈwaladan,,,,PASS,
168,case_endings,وَلَدٍ,waladK,w a l a d i1 n,ˈwaladin,,,,PASS,
169,case_endings,بِنْتُ,binotu,b i0 n t u0,ˈbintu,,,,PASS,
170,case_endings,بِنْتَ,binota,b i0 n t a,ˈbinta,,,,PASS,
171,case_endings,بِنْتِ,binoti,b i0 n t i0,ˈbinti,,,,PASS,
172,case_endings,بِنْتٌ,binotN,b i0 n t u1 n,ˈbintun,,,,PASS,
173,case_endings,بِنْتً,binotF,b i0 n t a n,ˈbintan,,,,PASS,
174,case_endings,بِنْتٍ,binotK,b i0 n t i1 n,ˈbintin,,,,PASS,
175,case_endings,رَجُلُ,rajulu,r a j u0 l u0,ˈraʤulu,,,,PASS,
176,case_endings,رَجُلَ,rajula,r a j u0 l a,ˈraʤula,,,,PASS,
177,case_endings,رَجُلِ,rajuli,r a j u0 l i0,ˈraʤuli,,,,PASS,
178,case_endings,رَجُلٌ,rajulN,r a j u0 l u1 n,ˈraʤulun,,,,PASS,
179,case_endings,رَجُلً,rajulF,r a j u0 l a n,ˈraʤulan,,,,PASS,
180,case_endings,رَجُلٍ,rajulK,r a j u0 l i1 n,ˈraʤulin,,,,PASS,
181,case_endings,طَالِبُ,TaAlibu,T AA l i0 b u0,ˈtˤɑːlibu,,,,PASS,
182,case_endings,طَالِبَ,TaAliba,T AA l i0 b a,ˈtˤɑːliba,,,,PASS,
183,case_endings,طَالِبِ,TaAlibi,T AA l i0 b i0,ˈtˤɑːlibi,,,,PASS,
184,case_endings,طَالِبٌ,TaAlibN,T AA l i0 b u1 n,ˈtˤɑːlibun,,,,PASS,
185,case_endings,طَالِبً,TaAlibF,T AA l i0 b a n,ˈtˤɑːliban,,,,PASS,
186,case_endings,طَالِبٍ,TaAlibK,T AA l i0 b i1 n,ˈtˤɑːlibin,,,,PASS,
187,case_endings,مُدِيرُ,mudiyru,m u0 d ii0 r u0,muˈdiːru,,,,PASS,
188,case_endings,مُدِيرَ,mudiyra,m u0 d ii0 r a,muˈdiːra,,,,PASS,
189,case_endings,مُدِيرِ,mudiyri,m u0 d ii0 r i0,muˈdiːri,,,,PASS,
190,case_endings,مُدِيرٌ,mudiyrN,m u0 d ii0 r u1 n,muˈdiːrun,,,,PASS,
191,case_endings,مُدِيرً,mudiyrF,m u0 d ii0 r a n,muˈdiːran,,,,PASS,
192,case_endings,مُدِيرٍ,mudiyrK,m u0 d ii0 r i1 n,muˈdiːrin,,,,PASS,
193,case_endings,مَسْجِدُ,masojidu,m a s j i0 d u0,ˈmasʤidu,,,,PASS,
194,case_endings,مَسْجِدَ,masojida,m a s j i0 d a,ˈmasʤida,,,,PASS,
195,case_endings,مَسْجِدِ,masojidi,m a s j i0 d i0,ˈmasʤidi,,,,PASS,
196,case_endings,مَسْجِدٌ,masojidN,m a s j i0 d u1 n,ˈmasʤidun,,,,PASS,
197,case_endings,مَسْجِدً,masojidF,m a s j i0 d a n,ˈmasʤidan,,,,PASS,
198,case_endings,مَسْجِدٍ,masojidK,m a s j i0 d i1 n,ˈmasʤidin,,,,PASS,
199,case_endings,بَابُ,baAbu,b a b u0,ˈbabu,,,,PASS,
200,case_endings,بَابَ,baAba,b a b a,ˈbaba,,,,PASS,
201,case_endings,بَابِ,baAbi,b a b i0,ˈbabi,,,,PASS,
202,case_endings,بَابٌ,baAbN,b a b u1 n,ˈbabun,,,,PASS,
203,case_endings,بَابً,baAbF,b a b a n,ˈbaban,,,,PASS,
204,case_endings,بَابٍ,baAbK,b a b i1 n,ˈbabin,,,,PASS,
205,case_endings,فَصْلُ,faSolu,f A S l u0,ˈfɑsˤlu,,,,PASS,
206,case_endings,فَصْلَ,faSola,f A S l a,ˈfɑsˤla,,,,PASS,
207,case_endings,فَصْلِ,faSoli,f A S l i0,ˈfɑsˤli,,,,PASS,
208,case_endings,فَصْلٌ,faSolN,f A S l u1 n,ˈfɑsˤlun,,,,PASS,
209,case_endings,فَصْلً,faSolF,f A S l a n,ˈfɑsˤlan,,,,PASS,
210,case_endings,فَصْلٍ,faSolK,f A S l i1 n,ˈfɑsˤlin,,,,PASS,
211,case_endings,سُوقُ,suwqu,s uu0 q U0,ˈsuːqu,,,,PASS,
212,case_endings,سُوقَ,suwqa,s uu0 q A,ˈsuːqɑ,,,,PASS,
213,case_endings,سُوقِ,suwqi,s uu0 q I0,ˈsuːqi,,,,PASS,
214,case_endings,سُوقٌ,suwqN,s uu0 q U1 n,ˈsuːqun,,,,PASS,
215,case_endings,سُوقً,suwqF,s uu0 q A n,ˈsuːqɑn,,,,PASS,
216,case_endings,سُوقٍ,suwqK,s uu0 q I1 n,ˈsuːqin,,,,PASS,
217,case_endings,طَرِيقُ,Tariyqu,T A r ii0 q U0,tˤɑˈriːqu,,,,PASS,
218,case_endings,طَرِيقَ,Tariyqa,T A r ii0 q A,tˤɑˈriːqɑ,,,,PASS,
219,case_endings,طَرِيقِ,Tariyqi,T A r ii0 q I0,tˤɑˈriːqi,,,,PASS,
220,case_endings,طَرِيقٌ,TariyqN,T A r ii0 q U1 n,tˤɑˈriːqun,,,,PASS,
221,case_endings,طَرِيقً,TariyqF,T A r ii0 q A n,tˤɑˈriːqɑn,,,,PASS,
222,case_endings,طَرِيقٍ,TariyqK,T A r ii0 q I1 n,tˤɑˈriːqin,,,,PASS,
223,case_endings,نُورُ,nuwru,n uu0 r u0,ˈnuːru,,,,PASS,
224,case_endings,نُورَ,nuwra,n uu0 r a,ˈnuːra,,,,PASS,
225,case_endings,نُورِ,nuwri,n uu0 r i0,ˈnuːri,,,,PASS,
226,case_endings,نُورٌ,nuwrN,n uu0 r u1 n,ˈnuːrun,,,,PASS,
227,case_endings,نُورً,nuwrF,n uu0 r a n,ˈnuːran,,,,PASS,
228,case_endings,نُورٍ,nuwrK,n uu0 r i1 n,ˈnuːrin,,,,PASS,
229,case_endings,حَقُّ,Haq~u,H A qq U0,ˈħɑqːu,,,,PASS,
230,case_endings,حَقَّ,Haq~a,H A qq A,ˈħɑqːɑ,,,,PASS,
231,case_endings,حَقِّ,Haq~i,H A qq I0,ˈħɑqːi,,,,PASS,
232,case_endings,حَقٌّ,Haq~N,H A qq U1 n,ˈħɑqːun,,,,PASS,
233,case_endings,حَقًّ,Haq~F,H A qq A n,ˈħɑqːɑn,,,,PASS,
234,case_endings,حَقٍّ,Haq~K,H A qq I1 n,ˈħɑqːin,,,,PASS,
235,case_endings,عِلْمُ,Eilomu,E i0 l m u0,ˈʕilmu,,,,PASS,
236,case_endings,عِلْمَ,Eiloma,E i0 l m a,ˈʕilma,,,,PASS,
237,case_endings,عِلْمِ,Eilomi,E i0 l m i0,ˈʕilmi,,,,PASS,
238,case_endings,عِلْمٌ,EilomN,E i0 l m u1 n,ˈʕilmun,,,,PASS,
239,case_endings,عِلْمً,EilomF,E i0 l m a n,ˈʕilman,,,,PASS,
240,case_endings,عِلْمٍ,EilomK,E i0 l m i1 n,ˈʕilmin,,,,PASS,
241,case_endings,دِينُ,diynu,d ii0 n u0,ˈdiːnu,,,,PASS,
